rank,title,artist,year,preview_url
28,Sink the Bismarck,Johnny Horton,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/bc/f7/6b/bcf76bdb-8cf5-ab3c-83b6-872ac1cdf1a6/mzaf_5996624634073130222.plus.aac.p.m4a
29,Chain Gang,Sam Cooke,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f4/ad/f8/f4adf800-0942-0e19-4439-8d91c3276fcc/mzaf_9907404701079308917.plus.aac.p.m4a
30,Let It Be Me,The Everly Brothers,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f5/08/51/f508515a-ff20-56a3-13de-c9af7fbe7732/mzaf_7939707528123528065.plus.aac.p.m4a
31,Good Timin',Jimmy Jones,1960,https://audio-ssl.itunes.apple.com/itunes-assets/Music/a3/87/cb/mzm.shinqwev.aac.p.m4a
32,Beyond the Sea,Bobby Darin,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/65/38/53/65385319-e8e7-c441-8891-7f300e26c642/mzaf_13929366315032702332.plus.aac.p.m4a
33,"Go, Jimmy, Go",Jimmy Clanton,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/cc/49/69/cc496911-4872-05d3-225d-1e937d96e386/mzaf_11146629118275794029.plus.aac.p.m4a
34,Night,Jackie Wilson,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b7/85/e5/b785e5e1-8574-66d6-624e-8bacf016b68b/mzaf_18130290902611801735.plus.aac.p.m4a
35,Burning Bridges,Jack Scott,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/35/75/ea/3575ea60-c0fb-1f01-e623-222be0a695bc/mzaf_1079239066036849959.plus.aac.p.m4a
36,The Big Hurt,Toni Fisher,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/95/e3/47/95e347b5-a556-fe84-a1d6-6e9740681cbc/mzaf_2925285892422677790.plus.aac.p.m4a
37,Because They're Young,Duane Eddy,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3d/e0/a6/3de0a692-d2cc-da2d-199b-0310cd0869bd/mzaf_14956753161987882524.plus.aac.p.m4a
38,Lonely Blue Boy,Conway Twitty,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/98/e5/d1/98e5d18a-5847-9f1d-79e5-cf37602e4cd4/mzaf_12174361904808553558.plus.aac.p.m4a
39,Pretty Blue Eyes,Steve Lawrence,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/02/d6/20/02d62007-0590-4f03-8e32-5eb6d1a4bb11/mzaf_13865075778272380236.plus.aac.p.m4a
40,Way Down Yonder in New Orleans,Freddy Cannon,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/38/77/34/38773411-ed34-86e4-4760-ca317ccd3bd4/mzaf_8060507546468105484.plus.aac.p.m4a
41,Paper Roses,Anita Bryant,1960,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/2b/2c/0e/2b2c0e6f-2783-6880-0e97-8a7d424ef53a/mzaf_4196796704448585407.plus.aac.p.m4a
42,Mr. Custer,Larry Verne,1960,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/7b/b3/28/7bb328d9-c45d-6224-5ec9-23451120c73f/mzaf_1336570668443108075.plus.aac.p.m4a
43,I Want to Be Wanted,Brenda Lee,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/55/da/71/55da7133-d58e-0a36-d3ea-71595e931f55/mzaf_10381616553981996133.plus.aac.p.m4a
44,Mule Skinner Blues,The Fendermen,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b1/dd/80/b1dd8042-8f52-0531-701e-57913e5885bf/mzaf_14333127428595936270.plus.aac.p.m4a
45,Cradle of Love,Johnny Preston,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/33/63/03/33630384-dd3a-49a5-0633-c776e68dcce4/mzaf_17560248687601926785.plus.aac.p.m4a
46,You Got What It Takes,Marv Johnson,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/98/88/02/988802a3-bcb7-fbea-36a8-6104c398e398/mzaf_7108919741429213623.plus.aac.p.m4a
47,"Please Help Me, I'm Falling",Hank Locklin,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/20/b4/e5/20b4e5c2-5962-af2c-18e1-8841d62ec3a2/mzaf_5339651506243238541.plus.aac.p.m4a
48,Love You So,Ron Holden,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ee/ac/e5/eeace568-2b30-1612-8746-5268b3d228f2/mzaf_13331666472135538441.plus.aac.p.m4a
49,Finger Poppin' Time,Hank Ballard & The Midnighters,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/41/55/c6/4155c670-0c47-8b22-bb60-5798a8737bc7/mzaf_7392249066287739886.plus.aac.p.m4a
