rank,title,artist,year,preview_url
98,Walkin' in the Rain with the One I Love,Love Unlimited,1972,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/79/72/21/797221b1-4043-8626-59fb-09e9d4bbc58e/mzaf_9262043431741503440.plus.aac.p.m4a
99,Get on the Good Foot,James Brown,1972,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c9/7f/62/c97f621d-694c-d8e0-5536-bfdcf23f152d/mzaf_15537520408457687943.plus.aac.p.m4a
100,Pop That Thang,The Isley Brothers,1972,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/88/d5/70/88d570ee-a249-20d2-1da8-427e978bf7f1/mzaf_7076750735285347779.plus.aac.p.m4a
1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/0f/4b/e7/0f4be73c-d730-bd4b-48bf-81ac63f89ad7/mzaf_9379311881238479423.plus.aac.p.m4a
2,"Bad, Bad Leroy Brown",Jim Croce,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/cc/a8/75/cca87539-386b-2577-8f74-8da2a193b27c/mzaf_16090663640818293366.plus.aac.p.m4a
3,Killing Me Softly with His Song,Roberta Flack,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/85/4a/79/854a7993-3eba-6022-0d74-3b332f1cdec5/mzaf_2534810207751401585.plus.aac.p.m4a
4,Let's Get It On,Marvin Gaye,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/28/3d/08/283d0802-e926-410a-74e3-46a9407af1b9/mzaf_12655792067482832880.plus.aac.p.m4a
5,My Love,Paul McCartney & Wings,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c1/c3/8a/c1c38a47-8a1b-56c8-ec6a-a07a831a204a/mzaf_16895221152841189391.plus.aac.p.m4a
6,Why Me,Kris Kristofferson,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b9/f2/37/b9f23745-0572-0178-73a7-422851a7c017/mzaf_5282241784213323747.plus.aac.p.m4a
7,Crocodile Rock,Elton John,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a4/70/45/a4704507-1de7-6a1b-c4ec-f9c5e1f3dfd1/mzaf_7325785691880586053.plus.aac.p.m4a
8,Will It Go Round in Circles,Billy Preston,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/a7/23/1c/a7231cb3-0eb3-8f70-922b-0903ff21779e/mzaf_1295750292065018278.plus.aac.p.m4a
9,You're So Vain,Carly Simon,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/0c/cb/3e/0ccb3e59-fb30-cd38-2673-f8087b26fb58/mzaf_12556331879075323601.plus.aac.p.m4a
10,Touch Me in the Morning,Diana Ross,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b9/ca/77/b9ca7751-31d3-643e-1700-617325921d67/mzaf_225375214174144019.plus.aac.p.m4a
11,The Night the Lights Went Out in Georgia,Vicki Lawrence,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e2/32/09/e23209a7-b277-ed13-d4a8-2fc85c4b0385/mzaf_12672708874740247995.plus.aac.p.m4a
12,Playground in My Mind,Clint Holmes,1973,https://audio-ssl.itunes.apple.com/itunes-assets/Music/dd/65/e6/mzm.tzgecdxq.aac.p.m4a
13,Brother Louie,Stories,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/20/ed/eb/20edebd8-d04c-9f5f-7d82-b7296154cfe8/mzaf_11086626031077914406.plus.aac.p.m4a
14,Delta Dawn,Helen Reddy,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c8/b9/d6/c8b9d6c1-901b-f0b5-23f7-643d300f7a7b/mzaf_12082331422854730700.plus.aac.p.m4a
15,Me and Mrs. Jones,Billy Paul,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/52/2a/91/522a914c-8caf-5d77-2013-e82a4a88e40e/mzaf_17652225698990855846.plus.aac.p.m4a
16,Frankenstein,The Edgar Winter Group,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/4c/e3/ab/4ce3ab6a-efc5-0fbd-dcd4-f89db8d886a5/mzaf_13348064620599059449.plus.aac.p.m4a
17,Drift Away,Dobie Gray,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/e5/f4/01/e5f40135-f294-2067-bb24-c832e076047b/mzaf_2162407524962673651.plus.aac.p.m4a
18,Little Willy,Sweet,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/23/a8/4d/23a84d54-c77e-da1d-4e7f-526722d3c4a0/mzaf_6617702556656201144.plus.aac.p.m4a
19,You Are the Sunshine of My Life,Stevie Wonder,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/75/17/c3/7517c36a-f0bb-a9ff-a8ae-2370466262db/mzaf_1155783978253902689.plus.aac.p.m4a
20,Half-Breed,Cher,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6d/bb/ff/6dbbffd3-fb5f-433c-eb5c-d8f106144a51/mzaf_10573637401894730701.plus.aac.p.m4a
21,That Lady,The Isley Brothers,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/80/c8/9f/80c89f47-f78b-b1d1-e869-8cab249679d0/mzaf_2492014514386074983.plus.aac.p.m4a
22,Pillow Talk,Sylvia,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/42/a5/3c/42a53c61-847f-7d24-85ff-46282438f8eb/mzaf_10310502954501569854.plus.aac.p.m4a
23,We're an American Band,Grand Funk Railroad,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/45/3b/df/453bdf5f-3af8-f3fb-129c-72a2c24402a8/mzaf_7646727850326932889.plus.aac.p.m4a
24,Right Place Wrong Time,Dr. John,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/e6/d5/fd/e6d5fd56-95eb-caaa-c22c-855ef7849e0c/mzaf_4126275508639314972.plus.aac.p.m4a
25,Wildflower,Skylark,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/10/d1/0a/10d10afd-3baf-5395-b6ad-a973755e5224/mzaf_18398413868550876622.plus.aac.p.m4a
26,Superstition,Stevie Wonder,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f3/40/24/f3402473-e6bb-59da-4626-471f1c3c8d2d/mzaf_14949786085823114993.plus.aac.p.m4a
27,Loves Me Like a Rock,Paul Simon,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/80/76/c1/8076c1f2-eb8e-9746-8556-6f2225f4a4bb/mzaf_13334194566155622068.plus.aac.p.m4a
28,The Morning After,Maureen McGovern,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8e/9e/f7/8e9ef7b5-8559-a240-c6ea-711cdc6fd8c5/mzaf_3098195240791768740.plus.aac.p.m4a
29,Rocky Mountain High,John Denver,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e6/00/11/e60011ce-9503-05eb-17b4-0613784c981c/mzaf_14518751238835653249.plus.aac.p.m4a
30,Stuck in the Middle with You,Stealers Wheel,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/66/12/22/66122219-3285-b858-2d69-b3ac34e8dc86/mzaf_2368032352199052515.plus.aac.p.m4a
31,Shambala,Three Dog Night,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c2/38/dc/c238dc81-91ca-db04-1732-28c32af0e704/mzaf_5190968133364513961.plus.aac.p.m4a
32,Love Train,The O'Jays,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1a/21/09/1a2109cd-e69a-c1e8-0fd0-84cf35975dec/mzaf_16620686795591796204.plus.aac.p.m4a
33,I'm Gonna Love You Just a Little More Baby,Barry White,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6e/c2/1a/6ec21a0b-5deb-3abc-68f3-af75a03af166/mzaf_8080291046997766212.plus.aac.p.m4a
34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d3/81/2d/d3812df1-f4ee-e053-517b-f4daf43afe0a/mzaf_4691093172790416129.plus.aac.p.m4a
35,Keep on Truckin',Eddie Kendricks,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/61/d9/f2/61d9f26a-944b-fafc-fedd-e2a7214e39d8/mzaf_15932771794261383482.plus.aac.p.m4a
36,Danny's Song,Anne Murray,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b3/50/08/b35008e9-8771-0ee3-70fe-70e0a6b5b4e0/mzaf_9963176024161984960.plus.aac.p.m4a
37,Dancing in the Moonlight,King Harvest,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4b/21/0f/4b210ff5-2d34-c23c-8921-cfb0a22b1b1e/mzaf_18078031687770352820.plus.aac.p.m4a
38,Monster Mash,Bobby 'Boris' Pickett,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/53/c1/dd/53c1dd18-d184-c2b0-1de4-f8247c9f4943/mzaf_6315684246939892168.plus.aac.p.m4a
39,Natural High,Bloodstone,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/03/08/61/030861bd-fe98-0f5d-fae3-57935a5fe5aa/mzaf_18123748670629443827.plus.aac.p.m4a
40,Diamond Girl,Seals and Crofts,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/fb/93/8b/fb938bec-04cd-a2ec-df61-e794f84b3aaa/mzaf_11267376801163764322.plus.aac.p.m4a
41,Long Train Runnin',The Doobie Brothers,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5b/21/ee/5b21ee49-4d0c-a1a4-dd80-1857f618fa95/mzaf_12504479536002364890.plus.aac.p.m4a
42,Give Me Love (Give Me Peace on Earth),George Harrison,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/96/7e/bc/967ebc5e-9364-ed8c-60d1-b7b9a8caa84a/mzaf_12477935074791921138.plus.aac.p.m4a
43,If You Want Me to Stay,Sly & the Family Stone,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/84/6c/0a/846c0adf-0684-a762-2495-398b817c064b/mzaf_2415082791537813202.plus.aac.p.m4a
44,Daddy's Home,Jermaine Jackson,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/5a/a9/98/5aa998ed-b202-0708-8e4a-a34b3a2fc42f/mzaf_18375838348831935872.plus.aac.p.m4a
45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8e/c0/74/8ec0748a-7713-9077-ce05-f8526ce5128c/mzaf_14905299646918236490.plus.aac.p.m4a
46,I'm Doin' Fine Now,New York City,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/2b/ad/b6/2badb6f7-cb22-71f0-2236-3a906f2bca3c/mzaf_13106306330557839791.plus.aac.p.m4a
47,Could It Be I'm Falling in Love,The Spinners,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/7b/7c/35/7b7c35d9-f4c0-e663-9a74-6f1afbe5b8c2/mzaf_14212081113376227438.plus.aac.p.m4a
48,Daniel,Elton John,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/19/27/ab/1927ab68-93d7-1cac-9bd5-0d2106b636a2/mzaf_5980791896319601765.plus.aac.p.m4a
49,Midnight Train to Georgia,Gladys Knight & the Pips,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/02/2a/79/022a79cc-faf5-8a99-5dab-3c4762d9132b/mzaf_12126642538490446921.plus.aac.p.m4a
50,Smoke on the Water,Deep Purple,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/87/85/37/87853787-4f23-57e9-f47f-cb329c0d173d/mzaf_4664264678302844973.plus.aac.p.m4a
51,The Cover of the Rolling Stone,Dr. Hook & The Medicine Show,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/27/15/c9/2715c95f-7f5c-2007-5abf-3efef143b20a/mzaf_2991668998192800688.plus.aac.p.m4a
52,Behind Closed Doors,Charlie Rich,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/74/40/79/7440794f-ec29-de09-9f00-e7cdde66d85e/mzaf_16672512863809181625.plus.aac.p.m4a
53,Your Mama Don't Dance,Loggins and Messina,1973,https://audio-ssl.itunes.apple.com/itunes-assets/Music/be/55/a8/mzm.olqhnsrp.aac.p.m4a
54,Feelin' Stronger Every Day,Chicago,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ea/9f/a3/ea9fa398-002e-5383-22c9-d90157f5e459/mzaf_11234661376555593767.plus.aac.p.m4a
55,The Cisco Kid,War,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3d/09/fd/3d09fdad-8566-4f4f-a920-d7a3be927f20/mzaf_12288162259897738238.plus.aac.p.m4a
56,Live and Let Die,Paul McCartney & Wings,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9f/76/ad/9f76ada6-2be7-0f2e-8707-0e58e180ff3e/mzaf_12561661648603294749.plus.aac.p.m4a
57,"Oh, Babe, What Would You Say?",Hurricane Smith,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/76/e4/1f/76e41f63-bc37-1db3-98e4-c59aaa1570da/mzaf_12556644691339207765.plus.aac.p.m4a
58,I Believe in You (You Believe in Me),Johnnie Taylor,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/61/f4/f0/61f4f004-8828-35e1-7a68-5934b88f94e8/mzaf_16962047289291997603.plus.aac.p.m4a
59,Sing,The Carpenters,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a8/99/4a/a8994a9c-9cac-29e1-0dee-03eb03c7be27/mzaf_14820626115565835.plus.aac.p.m4a
60,Ain't No Woman (Like the One I've Got),The Four Tops,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/6d/f5/e6/6df5e623-0c4f-7ccb-ac87-7cfa4c47d1f5/mzaf_6050127584204167022.plus.aac.p.m4a
61,Dueling Banjos,Eric Weissberg & Steve Mandell,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/24/8d/95/248d953d-ec37-e452-d6c4-f154c37dd7c3/mzaf_11903705457364876495.plus.aac.p.m4a
62,Higher Ground,Stevie Wonder,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/82/cd/5f/82cd5fdb-435d-a99c-12d6-0c2467147ea7/mzaf_6303464907260205991.plus.aac.p.m4a
63,Here I Am (Come and Take Me),Al Green,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/ca/f8/29/caf829b1-584f-78b1-aba4-a860b0d4af54/mzaf_16420583123028931601.plus.aac.p.m4a
64,My Maria,B.W. Stevenson,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a7/4d/61/a74d6185-9ae3-2f23-d014-db699524f629/mzaf_15951166340267956277.plus.aac.p.m4a
65,Superfly,Curtis Mayfield,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/f2/59/58/f259585e-b071-9aac-5638-44b3d3609f5a/mzaf_13282514935425264848.plus.aac.p.m4a
66,Last Song,Edward Bear,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/dd/4f/a7/dd4fa718-6c44-d307-e2e0-18e28a7340d5/mzaf_15171766983148921010.plus.aac.p.m4a
67,Get Down,Gilbert O'Sullivan,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/2e/84/d1/2e84d11b-c7f4-933b-1cbd-6acaf40e6706/mzaf_5965387682101444174.plus.aac.p.m4a
68,Reelin' in the Years,Steely Dan,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f4/9c/32/f49c321a-8acf-3155-5f85-d54feb35ba4b/mzaf_14754383643919643941.plus.aac.p.m4a
69,Hocus Pocus,Focus,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/41/a8/ce/41a8ce5b-a05f-db1e-2f47-47de8667b96c/mzaf_680635259242989038.plus.aac.p.m4a
70,Yesterday Once More,The Carpenters,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e1/c8/ac/e1c8ac7f-c357-3e23-ae0b-9cd1f4903cfa/mzaf_10145456158885461212.plus.aac.p.m4a
71,Boogie Woogie Bugle Boy,Bette Midler,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/21/23/d8/2123d8de-ee98-3110-ac60-5b298902b3cb/mzaf_13235057504806630121.plus.aac.p.m4a
72,Clair,Gilbert O'Sullivan,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/2c/5a/9e/2c5a9e58-8dd7-f654-103e-e8c59ce8dd44/mzaf_2015082353646625394.plus.aac.p.m4a
73,Do It Again,Steely Dan,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/10/b2/f4/10b2f403-ab71-d3f4-b2c0-685eea312019/mzaf_11925365266101058985.plus.aac.p.m4a
74,Kodachrome,Paul Simon,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ac/26/55/ac26557a-6242-4eee-de79-a93e55fcb66c/mzaf_5487946383313138512.plus.aac.p.m4a
75,Why Can't We Live Together,Timmy Thomas,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/a6/f4/f3/a6f4f305-2963-b629-cb3b-e3c7312f88c9/mzaf_3882113170902093445.plus.aac.p.m4a
76,Do You Wanna Dance?,Bette Midler,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ca/f5/4d/caf54d6a-8afb-4d84-2295-47d9ebf54785/mzaf_13645359730146456567.plus.aac.p.m4a
77,So Very Hard to Go,Tower of Power,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/58/cb/48/58cb48aa-cc6c-c026-35b1-e181a4617e1b/mzaf_15189988136720480352.plus.aac.p.m4a
78,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b9/b5/73/b9b573fe-291a-cf56-4368-54d3b5034327/mzaf_1397756982873535573.plus.aac.p.m4a
79,Ramblin' Man,The Allman Brothers Band,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/be/34/27/be3427e8-e803-5b29-380a-5b0262f4271d/mzaf_347905040581173618.plus.aac.p.m4a
80,Masterpiece,The Temptations,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c9/9d/37/c99d3772-c3d8-93c1-3c5f-bea118916034/mzaf_4184305347445161064.plus.aac.p.m4a
81,Peaceful,Helen Reddy,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a2/00/f5/a200f589-8c2e-1193-85a9-73e53a0d6359/mzaf_2757095283227232106.plus.aac.p.m4a
82,One of a Kind (Love Affair),The Spinners,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/f9/18/95/f91895e4-c000-0820-5c5c-8b9758c9a2f5/mzaf_8723812094443719747.plus.aac.p.m4a
83,Funny Face,Donna Fargo,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/66/61/51/6661518f-7b92-6301-49ef-3317301f5cb6/mzaf_11816650420221351418.plus.aac.p.m4a
84,Funky Worm,Ohio Players,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/5a/2e/d0/5a2ed053-5ecc-e8ee-44f1-9e1f21549d77/mzaf_12581059415634159072.plus.aac.p.m4a
85,Angie,The Rolling Stones,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/4b/80/de/4b80de43-c210-1d7c-bcc8-21417fa49256/mzaf_1655665553555846174.plus.aac.p.m4a
86,Jambalaya (On the Bayou),Blue Ridge Rangers,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ba/83/65/ba8365a2-658c-66c3-1679-3a3ca7273c06/mzaf_12379227326696730234.plus.aac.p.m4a
87,Don't Expect Me to Be Your Friend,Lobo,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/51/55/09/515509c4-a33c-0a16-e1c8-a950bd188298/mzaf_7322591805741599086.plus.aac.p.m4a
88,Break Up to Make Up,The Stylistics,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/06/fd/68/06fd6812-e1fd-7807-319d-6b3a0df5a815/mzaf_8175709025530634027.plus.aac.p.m4a
89,Daisy a Day,Jud Strunk,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/b5/ba/19/b5ba19c5-42c1-216c-764b-61f617703699/mzaf_1429000768756651856.plus.aac.p.m4a
90,Also Sprach Zarathustra (2001),Deodato,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/84/8d/5d/848d5dd6-b25a-0c1b-8700-93c228db1492/mzaf_13824741564612686362.plus.aac.p.m4a
91,Stir It Up,Johnny Nash,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/2d/b5/53/2db55355-5bae-b487-9782-5de731d8ff54/mzaf_5464141370026857916.plus.aac.p.m4a
92,Money,Pink Floyd,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/56/0c/fa/560cfa50-752e-c630-74e1-44dc87e7e05b/mzaf_11956628354427489709.plus.aac.p.m4a
93,Gypsy Man,War,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ce/1c/90/ce1c90d3-8485-9fc7-4d36-fa79e0991ca0/mzaf_12874126852286277699.plus.aac.p.m4a
94,The World Is a Ghetto,War,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/7f/ff/a8/7fffa8d5-ca02-4fcd-8b3f-f0ddd8b6a95d/mzaf_8239178335199827879.plus.aac.p.m4a
95,Yes We Can Can,The Pointer Sisters,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a1/48/46/a148467d-0c0f-1a55-a125-fa77785b1b97/mzaf_10825936876330913452.plus.aac.p.m4a
96,Free Ride,The Edgar Winter Group,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/fe/46/53/fe4653fb-e1e7-d89a-def2-5a32da3c5afc/mzaf_16793241860764991288.plus.aac.p.m4a
97,Space Oddity,David Bowie,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8d/34/1d/8d341d3d-978d-8885-4807-ff12d02659ec/mzaf_17330704255932500816.plus.aac.p.m4a
98,It Never Rains in Southern California,Albert Hammond,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/cb/4b/aa/cb4baa80-8845-098f-c52e-f1a4280dd5e5/mzaf_9204974853676500000.plus.aac.p.m4a
99,The Twelfth of Never,Donny Osmond,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4a/05/e3/4a05e3bd-5282-6245-9b2f-4318c8bcf7ab/mzaf_10027372947274568843.plus.aac.p.m4a
100,Papa Was a Rollin' Stone,The Temptations,1973,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/10/7a/f9/107af96b-7c23-0d07-1cda-d0b6deb341b9/mzaf_10745253720070658606.plus.aac.p.m4a
1,The Way We Were,Barbra Streisand,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c2/49/ef/c249ef4c-7e0e-4e5a-75ea-fcab3ccb448d/mzaf_8893589240737712145.plus.aac.p.m4a
2,Seasons in the Sun,Terry Jacks,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/99/b4/80/99b48053-d203-497e-d984-e95198af2fe4/mzaf_9421914963214704242.plus.aac.p.m4a
3,Love's Theme,Love Unlimited Orchestra,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/39/72/1b/39721b1e-9efc-7c30-9d77-a8d7a9aee115/mzaf_17112711559125705729.plus.aac.p.m4a
4,Come and Get Your Love,Redbone,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/37/ed/5a/37ed5a5a-41ee-d361-eb70-791c905e6942/mzaf_12834263996121634756.plus.aac.p.m4a
5,Dancing Machine,The Jackson 5,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/28/6b/e8/286be8ee-db06-b6fa-61e2-d6d9da422a15/mzaf_4889017987433821876.plus.aac.p.m4a
6,The Loco-Motion,Grand Funk Railroad,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/69/f3/11/69f311f7-34b6-9bf4-f855-764d5c9453db/mzaf_4735437587945751512.plus.aac.p.m4a
7,TSOP (The Sound of Philadelphia),MFSB,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/51/c9/b5/51c9b526-15f3-eaa4-9497-de597fde4e27/mzaf_906976670168395434.plus.aac.p.m4a
8,The Streak,Ray Stevens,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c5/1d/49/c51d493b-db5e-10b4-8e23-c2a9b2944199/mzaf_14012369402417144427.plus.aac.p.m4a
9,Bennie and the Jets,Elton John,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a0/b2/49/a0b24902-2a51-a06f-c049-ef581de4d4b0/mzaf_1918853990515029619.plus.aac.p.m4a
10,One Hell of a Woman,Mac Davis,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/35/df/ec/35dfec56-f8e9-ec50-80fa-626b09f29606/mzaf_2658334780617484749.plus.aac.p.m4a
11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/47/64/b5/4764b53b-4cbe-fcb5-c97f-9de50e2b21cd/mzaf_7693164459253237918.plus.aac.p.m4a
12,Jungle Boogie,Kool & the Gang,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e2/a7/74/e2a7741f-8c17-529c-a17a-c381391dc330/mzaf_3284771695595339311.plus.aac.p.m4a
13,Midnight at the Oasis,Maria Muldaur,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/68/af/5b/68af5b92-6334-204b-6a6a-935a5840a685/mzaf_15567101895780555111.plus.aac.p.m4a
14,You Make Me Feel Brand New,The Stylistics,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/ab/82/b8/ab82b819-8684-1a04-4797-8a49cabd36b7/mzaf_11024031570304154548.plus.aac.p.m4a
15,Show and Tell,Al Wilson,1974,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0b/20/bf/0b20bf6e-1123-bf27-5322-79e493af5782/mzaf_3078810683874333984.plus.aac.p.m4a
